relationship_id,entity_id_a,entity_id_b,relationship_type,role_a,role_b
rel-0000801,NK-e3duyvzU9Bg6vhmmrR3peL,NK-gdnQBekCRXGPCPCP4GdxMy,UnknownLink,subject,object
rel-0000802,NK-WuxfbTRKXRJQVE8pX5my3s,NK-gA9LybhY3ZGKxbUvF2zGiv,Ownership,owner,asset
rel-0000803,NK-gRiurgUjWKWNcBx5NVNq3V,NK-7hpQXrzwo3i8V65QhRfgQX,Ownership,owner,asset
rel-0000804,NK-ZpkcaFbTyXsx7AkR6CFdHM,NK-nYY746Uf9DQMPAutA5o7Mo,Ownership,owner,asset
rel-0000805,NK-cuVFsKgk3rPqzM4pWTexzc,NK-dgizjCZhRn5yDPSvYzDmJT,Ownership,owner,asset
rel-0000806,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-GMzFxsNF56CZdMgVMgopEA,Ownership,owner,asset
rel-0000807,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-dfdAAgJvpwoLJaSTXbUCzp,Ownership,owner,asset
rel-0000808,NK-jE5CT2uhW8uureiPCVy843,NK-ArAMZipXjonXwmr6PVrkB8,Ownership,owner,asset
rel-0000809,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-oNxdknA45PuiZqL4ysCjTZ,Ownership,owner,asset
rel-0000810,NK-VUaMZz8CegpjGRzKFidoLy,NK-Nk9cwQwyV8EvueUPVENVuU,UnknownLink,subject,object
rel-0000811,NK-Q2UkkGgQpeU7femaMrXgEX,NK-8PvnweGUhddMsGQc2fHp6F,Ownership,owner,asset
rel-0000812,Q5213558,NK-by6BPVuKBoGSZAVDqyNsvP,Ownership,owner,asset
rel-0000813,NK-EsgJuMFxEHoniHVAkx4zFt,NK-BhqwD8Ca5Ga24JoCbnokAQ,Ownership,owner,asset
rel-0000814,NK-3BWHveDwfmKX45dt8gnFEZ,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000815,NK-Y2cRUeLzdU7urKuzLAebbE,NK-3zGWQD65aNg5fhTgebLNpn,Ownership,owner,asset
rel-0000816,NK-PDrNBiGnNpF6CM4XSS5V9d,NK-kHPNTphE8npHHxAn9XmfQU,UnknownLink,subject,object
rel-0000817,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-ah5cwAe4un6ZaLxAaW2heX,Ownership,owner,asset
rel-0000818,NK-jzBp9A94e66gcUDKdhwZxg,NK-Rw4Y5o8hktm8aFGKZ8Qedr,Ownership,owner,asset
rel-0000819,NK-WvXA9T9nMkCmNty2Hk4ZfR,NK-DK2ZTY4LcKSxYNwrJkiJLB,UnknownLink,subject,object
rel-0000820,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-A6dbk4NgsUw5fqaGiydfy2,Ownership,owner,asset
rel-0000821,NK-4V9Rg5g6Fi63ya6zWmpaF8,NK-H3ntTQ63C7G6yapgepoXhs,UnknownLink,subject,object
rel-0000822,NK-nmUtRzJuxoiG4L8Jsr6wAn,NK-jF6xZDZzsiGDtJtGcBqoLi,UnknownLink,subject,object
rel-0000823,NK-X5nnF6AhwSJsosW7GE7y2F,NK-nrQZueyJrwrFSmy8cqYS3u,Ownership,owner,asset
rel-0000824,NK-FPnfYbwaKjiamrHFJi9yxz,NK-XpT8s773PSkzeXUvdEFNwC,Ownership,owner,asset
rel-0000825,NK-gvaoGXc4UUtrWTQUJPH4tD,NK-gvaoGXc4UUtrWTQUJPH4tD,Ownership,owner,asset
rel-0000826,NK-igyv6yjASbCpftww8x4hKu,NK-mYY26XRprmuMV2J5WrokYg,Ownership,owner,asset
rel-0000827,NK-W2M2Z4uqEvLTzxFcAHWxkm,NK-Lq3zuecfZCAFEb5xa6vDvL,UnknownLink,subject,object
rel-0000828,NK-igyv6yjASbCpftww8x4hKu,NK-fwdfnW7yy2aBesRVipoAec,Ownership,owner,asset
rel-0000829,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-jPaNaHQx5NudUDN67MymWq,Ownership,owner,asset
rel-0000830,NK-Ufn4fdY4HcVzqzbc3a4vB7,NK-bv2k6EHubu6BjCCsG8S2vP,Ownership,owner,asset
rel-0000831,Q131289193,NK-fSyfQHKqGxWqLvjhFGJemy,Ownership,owner,asset
rel-0000832,NK-LUWKNMaajAjKHw2zEXaLe7,NK-kGdQPV96MvAYrhctxHPAMX,Ownership,owner,asset
rel-0000833,NK-HtJexreCuefjJn5kpiah4M,NK-TjeDpsSEw6i3tngUhwGNUn,Ownership,owner,asset
rel-0000834,NK-kph4vGHcR4PWZLH5ySLBGC,NK-4fKQNTfxn4QBuqoqW7G5jy,Ownership,owner,asset
rel-0000835,NK-M9hrhqD6kaxAyixiFbHwoA,NK-CVbVp7iWvDhMwgFnricnFY,Ownership,owner,asset
rel-0000836,NK-ksqS3SNHDbygqwXGEgMpep,NK-etYQhfxEwrKJ2q5hg3L3Z4,Ownership,owner,asset
rel-0000837,NK-SfQRgCmgUNPi6LKnGU3qDX,NK-npdZSrDYbpdVnmUndsGzzA,UnknownLink,subject,object
rel-0000838,NK-2EoyvjAQaXf4EASvoyskHr,NK-4XNnwPFvoPaPsJtMYfBduD,Ownership,owner,asset
rel-0000839,Q5213558,NK-DvvcSbUkiwphS96S9yc44D,Ownership,owner,asset
rel-0000840,NK-AjoCtNh7rjguxtwWZMANrY,NK-nAfXTR4JGxXnWVte3izKiq,UnknownLink,subject,object
rel-0000841,Q3209269,NK-i5HsmnwhdAZi7crpRMxuDm,Ownership,owner,asset
rel-0000842,NK-b3fcbf4CHMfChZi52uVcjS,NK-NkKuezgUqjUCV9GHrZQefW,Ownership,owner,asset
rel-0000843,NK-24UMVkuxF3svsAtg55i3Zi,NK-H3ntTQ63C7G6yapgepoXhs,UnknownLink,subject,object
rel-0000844,NK-ZnoXU9aMGkGkdoL9Ue2bdg,NK-VDe3X9uywA6VSLnvUKFZp6,UnknownLink,subject,object
rel-0000845,NK-PMxW7c4ar7XXLcb6AfmCzF,NK-LfFmsGcTrwPkx4CPvTHFug,Ownership,owner,asset
rel-0000846,NK-CaGyv9VvY4cH7iqCbr7pSr,NK-7P8ps5eXYcRyeA55N7EMvz,Directorship,director,organization
rel-0000847,NK-K5vgHEtK4ybvgR2aUKzUXn,NK-d2wkX43psvoLFjjdnsJ2Go,UnknownLink,subject,object
rel-0000848,NK-6RSGVbUXwuEKdp8PM2MHfy,NK-XKa2MueYtXHXmRhbKPhbNr,UnknownLink,subject,object
rel-0000849,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-mKEZsNTE8C94Gsi4zf9VRr,Ownership,owner,asset
rel-0000850,NK-TVFjFMwaosk6cgmem5u8yb,NK-6GtFccdoF4bYJ3X7xrLFRv,Ownership,owner,asset
rel-0000851,NK-bRE4hScLBpkVNhvJUR8yrF,NK-GjMwSkh8HHLg9cBbvbQuo4,Ownership,owner,asset
rel-0000852,NK-XHcXA7NbRmoLEW4MAEBFmZ,NK-esY7fRZz5VPXwaZ5p7j7XM,UnknownLink,subject,object
rel-0000853,NK-MQibH5xKpXTEctZjAYkmSD,NK-evFACTP4JkZT9N4DbMhxjz,Ownership,owner,asset
rel-0000854,NK-igyv6yjASbCpftww8x4hKu,NK-AvHwmNx8SyNVQvv7KHHP9E,Ownership,owner,asset
rel-0000855,NK-jgam6LZKUfbtLte87wxjBj,NK-CVSa5U4LpM8YBZkXCtwNyj,Ownership,owner,asset
rel-0000856,NK-VDEKGF5ZgHAkye4kGuUXs3,NK-f9kUcyyjUFzrP9aYtV93FP,Ownership,owner,asset
rel-0000857,NK-oPoCCWAMWaaoLhbc2ZMsAK,NK-c6wzzaGvT6uWzqWLHtbxJq,Ownership,owner,asset
rel-0000858,Q25160388,NK-nFg77q6vHJLmSUp8mm3pPS,UnknownLink,subject,object
rel-0000859,NK-6JsJEzd9jo3nDDkjJsYMtb,NK-jpFi97mjz54YQFKLgmNpHu,UnknownLink,subject,object
rel-0000860,NK-NbuJxACuDz7c4UQwAAJxQN,NK-LivSG3GCVLVWVjuS3YuY3b,Directorship,director,organization
rel-0000861,NK-8n7kWxWpzMqnTCDCpSTpxu,NK-VbZh6BfXbeW8C7kHmyq8Rm,UnknownLink,subject,object
rel-0000862,NK-aoU6f4mMiNRVQRTfHFnsUS,NK-8m2Fjec5b7C4aMAu5gxwA6,Ownership,owner,asset
rel-0000863,NK-5t6cUBCGF9mg9LCFnfMXpD,NK-hT4K5Nf4vUjDnjKSEKTaUf,UnknownLink,subject,object
rel-0000864,NK-bMmsXsyt8dBS6PRJzAgVAN,NK-CJQY4Lwh8ssoYYaFqBEPZx,Ownership,owner,asset
rel-0000865,NK-L5gS4cgCxjZ8eYWYhyYA9G,NK-njpeYaaG7SZesrcxmio4L3,Ownership,owner,asset
rel-0000866,NK-8hzc4CybKsWXa9tYmxZGQK,NK-HmuBsn7zndC3GQYJ6qLona,Ownership,owner,asset
rel-0000867,NK-nYeDVBYmxFYTkrBMMDErt5,NK-MhLkzjfmVJefHeRc4B7d3i,Ownership,owner,asset
rel-0000868,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43217,Ownership,owner,asset
rel-0000869,NK-eRmwUfk3rVngHaYVPbUWUW,NK-WUgwvryk5SPAuytrD4m8EV,Ownership,owner,asset
rel-0000870,Q22125727,NK-Ue6fL3wpshF9mxgs4WA6MN,Ownership,owner,asset
rel-0000871,NK-iZ3gTd6PSwT53m2Q46Xrt8,NK-V3NwErd4NGF4VFZTEGKcLY,Ownership,owner,asset
rel-0000872,NK-eiqhyGTATGjzbCPKkXkVZ2,NK-9wiGoYAkiPj5g4DKpDb8Yh,Ownership,owner,asset
rel-0000873,NK-GTRRJ84edrgBRFsSkvqqxW,NK-LdAKQPhbVpVEZj66RX2vD5,Ownership,owner,asset
rel-0000874,NK-PbTDrxzqzuZZRqXLgzbFuc,NK-e3CBszZ4z7Zi2s2FQp5Kbr,UnknownLink,subject,object
rel-0000875,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-m2yS5xuB9vpHy2Fgx92fUF,Ownership,owner,asset
rel-0000876,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-FvYujPQbVav296gzaTpFDk,Ownership,owner,asset
rel-0000877,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-Y94HGca7ijjdm7sRydqPhp,Ownership,owner,asset
rel-0000878,NK-FDtSN679aX3fMMmGA83nFN,NK-dDbPwteGDYbsbN4vu7NMYw,UnknownLink,subject,object
rel-0000879,NK-EhVjT9FUAZkj5sLNWXabBU,NK-esY7fRZz5VPXwaZ5p7j7XM,UnknownLink,subject,object
rel-0000880,NK-GTRRJ84edrgBRFsSkvqqxW,NK-gWfb5RAdLAEenWKH5HqbZr,Ownership,owner,asset
rel-0000881,Q124689632,NK-fWJm3tYenooqe8WNmePV2r,Ownership,owner,asset
rel-0000882,NK-ZFVmg75cKSUWitdq5hLvEH,NK-dEqWCxXHxuQ4tbWFS9UWLv,Ownership,owner,asset
rel-0000883,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43159,Ownership,owner,asset
rel-0000884,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-VCku9HKWf9KBNn62o5JMt8,Ownership,owner,asset
rel-0000885,NK-mxvohSi2GWEWyu55GPJRx5,NK-KD2VYLhnosfqyEA7U6SXU2,Ownership,owner,asset
rel-0000886,NK-npdZSrDYbpdVnmUndsGzzA,NK-dcBEGnL8xWnuJiATNju5rc,Ownership,owner,asset
rel-0000887,NK-KgKrVitX9Pv7S4TNvQbZCA,NK-9LK5cmex7ejMxGHfSrSNki,Ownership,owner,asset
rel-0000888,Q1396860,NK-PDTGL9YzRHqTRb57xyQys7,Ownership,owner,asset
rel-0000889,Q51120320,NK-HGSrDPHfBDxSi8j7CEx4du,Ownership,owner,asset
rel-0000890,NK-cUECY4ZWxcJVzFW89JcLcP,NK-npdZSrDYbpdVnmUndsGzzA,UnknownLink,subject,object
rel-0000891,NK-nkQVTnCJLHiK9g6osfYDwF,NK-SbQHg8CLJzZhKNotoePM2e,Ownership,owner,asset
rel-0000892,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43147,Ownership,owner,asset
rel-0000893,Q116457576,NK-JrLbL5v7ibsL2fwJu3jMe5,Ownership,owner,asset
rel-0000894,NK-n3mqNyNNPRiqGcWtWR9Uoq,NK-PUoiZTPDehyJijQsNWX45v,Ownership,owner,asset
rel-0000895,NK-4aeQViLRgpZctfsWyZvcj5,NK-g7AgRcqbdXoSMojW92NxxQ,Ownership,owner,asset
rel-0000896,NK-QnA9vG2sxZQJgWRN3WwTxq,NK-Yfxk62ToF9Khg2QrJDF3kg,UnknownLink,subject,object
rel-0000897,NK-ZGTNt5L76ifiaB3XbyNb3C,NK-MEoevkpZucNxxWEZb4Lsxi,Ownership,owner,asset
rel-0000898,NK-Xgv93NxNzNJBqY9qajSBN4,NK-KP8Jgy3QYdK8axibtUnQ8H,Ownership,owner,asset
rel-0000899,NK-nyWDjbp5g6qsutRvZ6f8F5,NK-HmBjBFs2iE3FXQA59BQxJ8,UnknownLink,subject,object
rel-0000900,NK-b3fcbf4CHMfChZi52uVcjS,NK-oQdHhcZbFFjq3qcvuDRHfS,Ownership,owner,asset
rel-0000901,NK-RufFZuwz7VZ5CrvGAAgxjE,NK-4aeQViLRgpZctfsWyZvcj5,UnknownLink,subject,object
rel-0000902,NK-Y2cRUeLzdU7urKuzLAebbE,NK-6yCmrctF85PWB4MhqMV9rs,Ownership,owner,asset
rel-0000903,NK-Mpenih7NKLCqgDnrpGkSzf,NK-cXg9cY3SE9aKQRKN4BNKpe,Directorship,director,organization
rel-0000904,Q5213558,NK-epTfs5eAvBWxE5DpkKRg4W,Ownership,owner,asset
rel-0000905,NK-LGNEGaV9kamp2ytrxdte5m,Q124364779,UnknownLink,subject,object
rel-0000906,NK-8aAjgQJcccad2x9sDbi7F7,NK-jNazqnuNSMW8peiVoA2GK5,Ownership,owner,asset
rel-0000907,NK-bwtZfy7P6NQbC9iB2onHvy,NK-Jm4WUUaDhyAqq2UTqBTNt7,Ownership,owner,asset
rel-0000908,NK-RCuSXK3Xvi4iE8Mfi4RCnc,NK-Bmde7xcz3DDHcWEh6fPNk6,Directorship,director,organization
rel-0000909,NK-6beBuvQGG5tQWkaLzmTXDa,NK-NNhT5NRdHrnHzbSEvLEoDm,Ownership,owner,asset
rel-0000910,NK-S33jxXs2Qx5hEeUHHL8oEU,NK-nasciZFu5YUVdph5akE6Nj,Ownership,owner,asset
rel-0000911,NK-fY5F3U4GTsAaVMMgaSqW3X,NK-LJ7JGnqtZQf4ku8fZgnowD,Ownership,owner,asset
rel-0000912,NK-WEKuvUMsYb5DsahbVU3qtd,NK-mogNbwN2oTeTXGVV6T4GGH,UnknownLink,subject,object
rel-0000913,NK-9cNDZANQQSEKyYRiQnBfAc,NK-WVDr3sTDq8BsbBCmrUXEtV,Ownership,owner,asset
rel-0000914,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-PshKJdrdZEtV9yA7BdjyZb,Ownership,owner,asset
rel-0000915,NK-oUKPUYeoaAzsAKBZawJQZo,NK-mogNbwN2oTeTXGVV6T4GGH,UnknownLink,subject,object
rel-0000916,NK-b3fcbf4CHMfChZi52uVcjS,NK-MMMqx3MFup6Zerbau4quot,Ownership,owner,asset
rel-0000917,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43145,Ownership,owner,asset
rel-0000918,NK-UaznisgawBWomc8JgFFRcy,NK-iKvHm5qGEo3oBDuac4sUAd,Ownership,owner,asset
rel-0000919,NK-T9xK2F2HhQx7MbvcbuwRYG,NK-QSmV8cxKcZwz7NEfFmt7WX,Ownership,owner,asset
rel-0000920,NK-Wmcw4YDgZzPXBPrcyfASWG,NK-4V5jrfTanKkTadpSH37GTg,Ownership,owner,asset
rel-0000921,NK-eV29VQ59AKRCzedViEP9Lr,NK-gHAK9LCzLZXgSG9ht5wSVF,Ownership,owner,asset
rel-0000922,NK-CEWeWvL9qFu8o4AJgtFHUQ,NK-TknYE7kroEu3LCGRsTguv7,Ownership,owner,asset
rel-0000923,NK-7LGfD5qNNt77jTQhvmd3Er,NK-cXg9cY3SE9aKQRKN4BNKpe,Directorship,director,organization
rel-0000924,NK-ntyLT6ZMcGjFjVhoDiZVWr,ofac-43172,Ownership,owner,asset
rel-0000925,NK-63iaZb5iyDZBzBLNxpZG2x,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000926,NK-ieEpvzBFMm9zHNVXyU7rcL,ofac-40185,Ownership,owner,asset
rel-0000927,NK-nLcqZ7zFGKQhrpihxwBddN,NK-8zX2ppFbQ2Socw7dfYN743,UnknownLink,subject,object
rel-0000928,NK-ifGYJVqQAMQGmPTDr8YGh9,NK-Kb2xoBuUYcMAjignw2CShG,Ownership,owner,asset
rel-0000929,NK-gvaoGXc4UUtrWTQUJPH4tD,NK-HnmTv2ZGdXnD4agB4ndBFj,Ownership,owner,asset
rel-0000930,Q55107083,NK-dmiEzfCd5SCTTvzWupzM99,Ownership,owner,asset
rel-0000931,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-cDtAzPbNaYCiiQfCtHQtY6,Ownership,owner,asset
rel-0000932,NK-kNULoiM7XfTYeWLtTZ4UHg,NK-E4kMhc2vWPst4suqRk7LjD,Ownership,owner,asset
rel-0000933,NK-et5sakkRqBmB7LenAbfopR,NK-FCf8whF3KyJ6fzz7cBqs3n,Ownership,owner,asset
rel-0000934,NK-dMhepKUGMeUnPBibntHSUa,NK-WYcCjJtL6zTsFXhthWSS3P,Ownership,owner,asset
rel-0000935,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43207,Ownership,owner,asset
rel-0000936,NK-PpQPrC5UfdqF4whZioHXa9,ofac-56350,Ownership,owner,asset
rel-0000937,NK-mnzmkYSLxd5Ym2VK2EdPr4,NK-QSmV8cxKcZwz7NEfFmt7WX,Ownership,owner,asset
rel-0000938,NK-K7KUgUAU6zEL4CPHp8t7E3,Q132760324,UnknownLink,subject,object
rel-0000939,NK-7EFkYLJ8owHkm29sYcDGpQ,NK-2mB9CumYfWig8z86USwqDB,UnknownLink,subject,object
rel-0000940,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43211,Ownership,owner,asset
rel-0000941,NK-KvsqeiU7qovHTWZ8mYaETo,NK-gUNaCvSEVhb9o777YXjXTJ,UnknownLink,subject,object
rel-0000942,NK-nc5fFohRkbR5i94YvXmbSj,NK-g8JoGm8hqTBqbiFnAF7w3M,Directorship,director,organization
rel-0000943,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-jNkha49duv3D3eVAkaHiju,Ownership,owner,asset
rel-0000944,NK-VqVGbGTABttfGfVFVyd2Ss,NK-AmDHPkRMVPjtGDdyjioRFK,UnknownLink,subject,object
rel-0000945,NK-gToaaA9V47RYhVzXFMUG74,NK-MfX6Rm75VT2o7ZXYuFS2Cu,Ownership,owner,asset
rel-0000946,NK-Paj9uKKhiJkEqhjmqxkM7J,NK-CHErLH2sfYm2kagr8sM9Fv,Ownership,owner,asset
rel-0000947,Q7967009,NK-DsTG3aEecQnbF55mzGBrak,Ownership,owner,asset
rel-0000948,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-LhSmqn2cNFFBFLuyanv9CU,Ownership,owner,asset
rel-0000949,NK-bEQbK8tpTBWBUkYsYzjx4b,NK-HSQEdAZw8So6yD68gq7GDg,UnknownLink,subject,object
rel-0000950,NK-HL29UpBi2bLRU8iiB3MP8J,NK-mMTD9Fzvzwi3JMUDVpCirS,UnknownLink,subject,object
rel-0000951,NK-WioQaZXBe5HzgTfwhniJgQ,NK-mk3Feiy8y5kjTFqvMePxNz,Ownership,owner,asset
rel-0000952,NK-cSytJf6Yov8jGYbJdWXMvq,NK-7KskUGJzEzAvSK2zPekH6R,Ownership,owner,asset
rel-0000953,NK-aazqJ9AU432QgqXWBwvHNG,NK-dpYXQpqCoz8TFvcuJYivvq,Ownership,owner,asset
rel-0000954,NK-Yfxk62ToF9Khg2QrJDF3kg,NK-EX3DkYVyCmT7xvA3sZ7FCu,Ownership,owner,asset
rel-0000955,NK-SiJ4n4q4wrQgc8zcJporZk,NK-dCaGEBaKbPBsA7Dh9p6AxM,UnknownLink,subject,object
rel-0000956,NK-YFzUxtqfj3FVwACs329Gqi,NK-ju3cm2pva8c5Wz24Szhq2b,Ownership,owner,asset
rel-0000957,NK-ZrAXxpfZYhPYC3i7VcUho6,NK-ncB6saL459UrpWpopB8bsR,UnknownLink,subject,object
rel-0000958,NK-FUc7b6yxr7cgp48P3WrnCz,NK-YTRoJbbepDiDYfoc5V7aKC,Ownership,owner,asset
rel-0000959,NK-epNkNpsjq5edRt9zGqSoHi,Q1396860,Family,person,relative
rel-0000960,NK-bwtZfy7P6NQbC9iB2onHvy,NK-SfVkY3HiX6CFehgPaYMaSN,Ownership,owner,asset
rel-0000961,NK-9cMNkiPcK7zb7ycKG6ypvG,ofac-54424,Ownership,owner,asset
rel-0000962,NK-L6tyfjjKh4f9CzhWgiFnuT,NK-MNMtj6DGRqUtUhHZxRohEf,Directorship,director,organization
rel-0000963,NK-VbZh6BfXbeW8C7kHmyq8Rm,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000964,NK-gf5EDso7jJ4a6hAUe9ReWD,ofac-56920,Ownership,owner,asset
rel-0000965,Q1396860,NK-T5qbnZPXm9mHJSZinvYqRH,Ownership,owner,asset
rel-0000966,NK-esY7fRZz5VPXwaZ5p7j7XM,NK-gmYj2UvRHHMZj9tLyST4un,Ownership,owner,asset
rel-0000967,NK-8LFrJocopTzuY9e5gQPw3M,NK-DDjr4BpbftZT6iUndh4Kmd,Ownership,owner,asset
rel-0000968,NK-b3fcbf4CHMfChZi52uVcjS,NK-SkQBFZVaQn2TGaJbuQVDyk,Ownership,owner,asset
rel-0000969,NK-gRiurgUjWKWNcBx5NVNq3V,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000970,Q20850503,NK-cfkU2bTQAFc4aXLNS63gR4,Ownership,owner,asset
rel-0000971,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-gvjHN9UuW4ouGW6QWKfgtg,Ownership,owner,asset
rel-0000972,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-iddntn9b8kMGuJmapXQ4te,Ownership,owner,asset
rel-0000973,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-Q7xXbZmeokkrLwwiQgeWif,Ownership,owner,asset
rel-0000974,NK-J5Z5ffGpe3njMounKUtvFs,NK-76v2twYHNxqDpKeT6ZQdGS,Ownership,owner,asset
rel-0000975,NK-eQD5mRcKxaUkzJ6ermBcUa,NK-mKMqgtab4npT2jsmb8Knok,Ownership,owner,asset
rel-0000976,Q1396860,NK-oD93b5VaaviUtTpFytGLaH,Ownership,owner,asset
rel-0000977,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-BEjYCwPVk9hWUXCMtLCorG,Ownership,owner,asset
rel-0000978,NK-cLsYuuo62UYLcF9jr4Kmfc,NK-cntkyNvAtdVB8nEVF8EG9f,Ownership,owner,asset
rel-0000979,NK-j3zAZMyrhpbeLUFwq3RAe8,NK-SV95ipkZgCiqjoerehGX8a,UnknownLink,subject,object
rel-0000980,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-UVLus6ygadgLN9RohgufMM,Ownership,owner,asset
rel-0000981,NK-ReJvsCD7mNdTThr8qCbUv8,NK-LQcsUFRw8suU3BJUey3CKX,Ownership,owner,asset
rel-0000982,NK-ixDJoddu6A5yjKSasZhW9y,NK-neZdRCM4Agd9EjZvWy6Yoh,UnknownLink,subject,object
rel-0000983,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43149,Ownership,owner,asset
rel-0000984,NK-kph4vGHcR4PWZLH5ySLBGC,NK-cxH6yqurS62EiBp4BGnfzq,Ownership,owner,asset
rel-0000985,NK-mnzmkYSLxd5Ym2VK2EdPr4,NK-W9miMWPQKCeY6F5n3BKxVs,UnknownLink,subject,object
rel-0000986,NK-S9o6uk7J5Rbu562S9ayiqk,Q132760324,UnknownLink,subject,object
rel-0000987,NK-Wv7vGDkRwnvXnr7TuhKJyD,NK-Z3noaJECKh8tMbjt8KnehU,Ownership,owner,asset
rel-0000988,NK-GJTBw2WaHRSrARq5bAxnF5,NK-Fr9cTGfPBE82BmXAREqSkF,Ownership,owner,asset
rel-0000989,NK-8LFrJocopTzuY9e5gQPw3M,NK-X5GTiW8g9xTtFqTYFmRaSA,Directorship,director,organization
rel-0000990,NK-Q2UkkGgQpeU7femaMrXgEX,NK-9ENW9iv5jtLTYSQYKFTFB5,Ownership,owner,asset
rel-0000991,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-6doXUGnwzDRBFvHCZHdBZP,Ownership,owner,asset
rel-0000992,NK-H8qvP6pivtY5suRW4Q9otc,NK-iYZxkFaPtTB2zoedzqF3Kg,Ownership,owner,asset
rel-0000993,NK-bwtZfy7P6NQbC9iB2onHvy,NK-EGAcxjzMCYQfhrb8awZdS4,Ownership,owner,asset
rel-0000994,Q1396860,NK-LNeyn42wTgAx32tVXLiHuK,Ownership,owner,asset
rel-0000995,NK-heRAwDyJCzL5tfPhwJrg6r,NK-TV2uw7GCYMowK2RZmXJRC2,Ownership,owner,asset
rel-0000996,NK-hAzVExynbzSoPrf3ZR4GEV,NK-kKZ25mEt4rUXTMeNWer6zz,Ownership,owner,asset
rel-0000997,NK-CWeAW7Z2cZBFMp4u8Lzxc3,NK-JkQTtmshgPudepubyDPSza,Directorship,director,organization
rel-0000998,Q16920915,NK-RgDb7wijaR8BjLxvB6ASCx,Ownership,owner,asset
rel-0000999,NK-Qsg8Hx5f43GrQWkJj8zU9U,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0001000,NK-XJJYcZ3MFofccNrfe9UM3A,NK-j5dXYZQSZKXGX9qq9VytCK,Ownership,owner,asset
rel-0001001,NK-Zve9ffXz5psFkogs6uTaFA,NK-ipVrFZf7o3drYzB3jPB6tu,UnknownLink,subject,object
rel-0001002,NK-bGYGSPXJY5catZ53kwWkBr,NK-WFyMmvHtBAHndZbUjEe4F3,Ownership,owner,asset
rel-0001003,NK-m4AGHb4xKUBi6tXK8wqtEf,NK-SVXQ2bge7Qxtg9MJagPw27,Ownership,owner,asset
rel-0001004,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-B9BLn2wR9XUDGu2y8RS75v,Ownership,owner,asset
rel-0001005,NK-jwaS6fDuK2uzvRrsDRwkfo,NK-SY3PwSU7w3kDNRZzbikm5L,Ownership,owner,asset
rel-0001006,NK-7VV2ZXaDGVuSBXjdePgguo,NK-78YbPnuPSBvpXb2yPty339,Ownership,owner,asset
rel-0001007,NK-oMa4ejoqimp3o28SqxqezT,NK-m4LyfeqDS7wcAnc7t22Xq5,Ownership,owner,asset
rel-0001008,NK-TheYANLbBFVEkfz5xQMGVd,NK-esY7fRZz5VPXwaZ5p7j7XM,UnknownLink,subject,object
rel-0001009,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43174,Ownership,owner,asset
rel-0001010,NK-YDucFUbcDbBhvfUgciht8i,NK-bWvEpYWxoCgUedUaiUtaHi,Ownership,owner,asset
rel-0001011,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43188,Ownership,owner,asset
rel-0001012,NK-nmUtRzJuxoiG4L8Jsr6wAn,NK-QjrLshrKuQmNb3H9Ceusqw,Ownership,owner,asset
rel-0001013,NK-nZpuCDynSU2JCBn6A9FE4J,NK-gpsZisXS7dwpfsGXJPsbw2,Directorship,director,organization
