relationship_id,entity_id_a,entity_id_b,relationship_type,role_a,role_b
rel-0000637,NK-44dvGK7YxQdWznKQVPMkpB,NK-TwwXP3FbX2qm3JKykbL9AK,Ownership,owner,asset
rel-0000638,NK-Zi7ccTjftTTfka6egtJuVW,NK-3hW4PYbcYC6j9awZZwMqct,Ownership,owner,asset
rel-0000639,Q7747,NK-cUXBFEoUbLePdTehEuZMt9,Ownership,owner,asset
rel-0000640,NK-Mkva8zffyZmgrXmiSgKBdy,NK-cSuagP2qXy32TaeRN6kwz8,Ownership,owner,asset
rel-0000641,NK-5FgQf86ft6JcPeH5rshK4T,NK-2rX38dy7U9F6XNsWvaGarh,Ownership,owner,asset
rel-0000642,NK-KKQpNkgiPMKAZzGt52yx5o,NK-JYemNHzubnpHJBaQfgrYSv,Ownership,owner,asset
rel-0000643,NK-LsxtUMuhj6cRh9vowwa2Mm,NK-DNuYJ3MjPFKiLD57u5o2Mx,Ownership,owner,asset
rel-0000644,NK-atopv4Y4ffzoCf6UiwiJGy,NK-eDBr5bBoMsPc2tbVrC6HPS,Ownership,owner,asset
rel-0000645,NK-UW8Gm7vgSzAG8eRAEpzp72,NK-VDEKGF5ZgHAkye4kGuUXs3,UnknownLink,subject,object
rel-0000646,Q739315,NK-8zX2ppFbQ2Socw7dfYN743,Ownership,owner,asset
rel-0000647,Q105406312,NK-oUHjoxn7Zk6vRFwzrG7X7h,Ownership,owner,asset
rel-0000648,NK-cxkCY6k2conb8WvPqasDcf,NK-AGEDhLMf3JTjo5joaM2N7g,UnknownLink,subject,object
rel-0000649,NK-n2Mhm3i5F3yie3x3yESafv,NK-TagbkDDBaKT2CKXKjKZTa5,Ownership,owner,asset
rel-0000650,Q4111065,NK-bRE4hScLBpkVNhvJUR8yrF,Ownership,owner,asset
rel-0000651,NK-kWcSEwceoYbfKBMQsTcwaM,NK-4JYGfcjP3Frn24sYQ3ZXE2,Ownership,owner,asset
rel-0000652,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-kfaMNWkkyCgkTLaTHhfjK8,Ownership,owner,asset
rel-0000653,NK-hzsNvG6xj84xrRkP2Q2UAX,NK-W9miMWPQKCeY6F5n3BKxVs,Ownership,owner,asset
rel-0000654,NK-Yfxk62ToF9Khg2QrJDF3kg,NK-dqAaENTGtNQ4anQuKLWc5u,UnknownLink,subject,object
rel-0000655,NK-H5uuQeHrS94wb8XiVRzEL5,NK-cyXUQ5RpkTjJDjM4PWoGD3,Ownership,owner,asset
rel-0000656,NK-iy5SQ96wzW2rR43pCMJUML,NK-8E8TZR275yCSQyzPr43yCL,Ownership,owner,asset
rel-0000657,Q136672991,NK-oNJHjSyntDoZQNs8jvXFFM,Ownership,owner,asset
rel-0000658,NK-o2V3WYburhQnpsrE2M2kcF,NK-ncB6saL459UrpWpopB8bsR,UnknownLink,subject,object
rel-0000659,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-mAsMqf79pCbSXJzjvPbK7C,Ownership,owner,asset
rel-0000660,NK-7K6aFVAVzdkgPcSb3L6mxt,NK-VDzzW8uhA9Nxw7biXkWyPN,Ownership,owner,asset
rel-0000661,NK-nkQVTnCJLHiK9g6osfYDwF,NK-nFg77q6vHJLmSUp8mm3pPS,UnknownLink,subject,object
rel-0000662,NK-7K6aFVAVzdkgPcSb3L6mxt,NK-SfKis4s8sQrfNzrRjRDJnx,Ownership,owner,asset
rel-0000663,NK-mgmfKXHzsq6m7L7XsHFTWT,NK-XvQXTdUr9Ut7EiK4K7d3Tk,Ownership,owner,asset
rel-0000664,NK-BA4PDofbzjMfnYCGBYeH9T,NK-A3vA27hp4EmkdmyEKB86C4,Ownership,owner,asset
rel-0000665,NK-VDe3X9uywA6VSLnvUKFZp6,NK-DK2ZTY4LcKSxYNwrJkiJLB,UnknownLink,subject,object
rel-0000666,NK-9zso9vhQhEQ7CNUhNxKhfe,NK-RDejnVwG76ReZ52CVVZiHa,UnknownLink,subject,object
rel-0000667,NK-Th9dQiiYnmLpC8kxUNj7pP,NK-Nk9cwQwyV8EvueUPVENVuU,UnknownLink,subject,object
rel-0000668,NK-TSRS2YCSuBxY5EkGVK2RJ4,NK-BYBadFk3XNSNJhK5FLSArx,Ownership,owner,asset
rel-0000669,NK-jqXHr8jsSFcyJZjkP7Jmvd,NK-mFnTFJcNF2uMh7jxQucAkg,Ownership,owner,asset
rel-0000670,NK-WfjJqMuFE3ALqXgtd46NYW,NK-8foG27j579TsBsF27zsfnj,Ownership,owner,asset
rel-0000671,Q503147,NK-buymoEtnoZXCR4XSzPyyFg,Ownership,owner,asset
rel-0000672,NK-MQibH5xKpXTEctZjAYkmSD,NK-mcpx8FBZMwjDeG8hbsA3W9,Ownership,owner,asset
rel-0000673,NK-Zi7ccTjftTTfka6egtJuVW,NK-Pp2TefGk25gsz7KeagBhzd,Ownership,owner,asset
rel-0000674,NK-JbZxXpqKt4iAgXe2fDozBi,NK-7AdKTc3Mjt6zFBLsKP2L6Z,Ownership,owner,asset
rel-0000675,NK-Zi7ccTjftTTfka6egtJuVW,NK-X8LGKzdazesFFZkptc5Vjg,Ownership,owner,asset
rel-0000676,NK-bGYGSPXJY5catZ53kwWkBr,NK-ceyVjqqJFeNuDF3fe8cXGn,Ownership,owner,asset
rel-0000677,NK-oL9WiWwjUBxgQnegW5haV3,NK-AmRGwyzifJDB2PHBJTGyyM,UnknownLink,subject,object
rel-0000678,NK-n2Mhm3i5F3yie3x3yESafv,NK-fUAnz2CuoPcQL43ukfFJqc,Ownership,owner,asset
rel-0000679,NK-KwfTeLELJdig2bkJYyjhjr,NK-jqXHr8jsSFcyJZjkP7Jmvd,Directorship,director,organization
rel-0000680,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-2Dr4Lsi4ZwRhd7ymT4TanK,Ownership,owner,asset
rel-0000681,NK-gd3fmDAo48phB7TfnsCGGQ,NK-fDRC4TjDsMierpX49tYakk,Ownership,owner,asset
rel-0000682,NK-XCcMzatJQZX7S6BnZrJfqU,NK-jqXHr8jsSFcyJZjkP7Jmvd,Directorship,director,organization
rel-0000683,NK-3U8n8cmjRcw6wqhw95soDH,NK-Xxw7c7D5QqqCMWvkqPjNaK,Ownership,owner,asset
rel-0000684,NK-WgTMoCMFMcrHQjrQe5D4Q9,ofac-35329,Ownership,owner,asset
rel-0000685,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-5Jm2cC2H8kVCWbdwyqwsRo,Ownership,owner,asset
rel-0000686,NK-VfnudPd6LTMbMViqynLmqb,NK-jcmkhF6K5ermMMotyGDboL,UnknownLink,subject,object
rel-0000687,NK-8M9dvEKTHiscWMSndwhEgw,NK-MNMtj6DGRqUtUhHZxRohEf,Directorship,director,organization
rel-0000688,NK-E9iGjGiSbgqQ2kwXGKeTjw,NK-cxq57VqV2WbmzYyAEsrNKh,Ownership,owner,asset
rel-0000689,NK-RArnCryDtcVMBchzyvQNps,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000690,NK-FWo4P5bSs8oC9cYQk8gpN2,NK-DK2ZTY4LcKSxYNwrJkiJLB,UnknownLink,subject,object
rel-0000691,NK-LALDXaDdrMjEJW2ycjCvcF,NK-bz8EhMQwNtPSJwUHSKwTgh,UnknownLink,subject,object
rel-0000692,NK-Qnvh8gKttWdExpM6YfbefT,NK-jqXHr8jsSFcyJZjkP7Jmvd,Directorship,director,organization
rel-0000693,NK-QhPTP8aVRDkxQM4xeYyrhE,NK-UnWwATp8m3i7xh43FQj2Wg,Ownership,owner,asset
rel-0000694,NK-bwtZfy7P6NQbC9iB2onHvy,NK-bLSTrmrJbwF2Ufu5MzrXPv,UnknownLink,subject,object
rel-0000695,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-4WMhKEd7GU3RCQ3zc8a43b,Ownership,owner,asset
rel-0000696,NK-jqireKVawqSa25uAqNEQNd,NK-9cCvvvbWRHF6RBxd3bxxGu,UnknownLink,subject,object
rel-0000697,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43215,Ownership,owner,asset
rel-0000698,Q55107083,NK-GWdNFFrdBHAM5Z2i9ETwsh,Ownership,owner,asset
rel-0000699,NK-3tMNRqkksxxj9JnrRs5Yyz,Q7747,UnknownLink,subject,object
rel-0000700,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-CwM9xM5L4FvL5YfWSN6eZF,Ownership,owner,asset
rel-0000701,Q56605161,NK-85NEdCrr39h4pMgwyhCm2g,Ownership,owner,asset
rel-0000702,NK-GTRRJ84edrgBRFsSkvqqxW,NK-Yfxk62ToF9Khg2QrJDF3kg,UnknownLink,subject,object
rel-0000703,NK-mAtqGuyku7pBj4bMCGfWN2,NK-4CrzRQ4J7XcPz4cSm6CXiQ,Ownership,owner,asset
rel-0000704,NK-EsgJuMFxEHoniHVAkx4zFt,NK-5JnhQ3BXKuPmhJCYjyL9ds,Ownership,owner,asset
rel-0000705,NK-SEpRvhQWDnNCWd5QaX2NVN,NK-4aeQViLRgpZctfsWyZvcj5,UnknownLink,subject,object
rel-0000706,NK-7nDLF5kYQHrbdsyJx7NyD4,NK-Hu6FMQSSzqs9g8Jf3vpA8g,Ownership,owner,asset
rel-0000707,Q503147,NK-j5v5PQgwosdGZuxaBLzgP4,Ownership,owner,asset
rel-0000708,NK-EsgJuMFxEHoniHVAkx4zFt,NK-ddAkzJDprKJueoyUUshMWp,Ownership,owner,asset
rel-0000709,NK-ZYJduzksojyNqnvRoVCCjY,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000710,NK-niMGsz7F5Pueixa6T4kgZo,NK-gc8Zqkj6KMJK7PBKxiUYGn,Ownership,owner,asset
rel-0000711,NK-D2WH2K553BjiuqfioihjnT,NK-mD7L85degbUQCZVNdWmWQ5,UnknownLink,subject,object
rel-0000712,NK-bJThAbso99PAbqDzL62S5J,NK-RLQWPAatg3vJejw6D5ARNA,Ownership,owner,asset
